name,category,tradition,subtype,T,A,O,year,notes
Ptahhotep,philosophy,Egyptian,State Religion,0.7,0.3,0.7,-2350,Egyptian vizier; Maʿat ethics; cyclical order through right speech and hierarchy.
Imhotep,science,Egyptian,State Religion,0.6,0.4,0.7,-2650,Architect-healer; pragmatic wisdom; divine immanence through craft.
Hammurabi,politics,Mesopotamian,State Religion,-0.7,0.5,-0.7,-1750,Lawgiver; linear justice under transcendent code.
Zoroaster (Zarathustra),religion,Zoroastrianism,Classical,-0.8,0.5,-0.6,-1000,Prophet of dualism; moral choice within linear cosmic battle.
Laozi,philosophy,Daoism,Classical,0.7,0.6,0.9,-400,Wu-wei; immanent Dao.
Zhuangzi,philosophy,Daoism,Classical,0.7,0.7,0.9,-350,Relativism of perspectives; spontaneous harmony with Dao.
Confucius,philosophy,Confucianism,Classical,0.5,0.6,0.3,-500,Ritual virtue; relational order; immanent ethics.
Mozi,philosophy,Confucianism,Classical,0.5,0.6,0.2,-450,Utilitarian impartial love; social engineering; pragmatic immanence.
Mencius,philosophy,Confucianism,Classical,0.5,0.6,0.3,-350,Innate goodness; moral cultivation; immanent virtue.
Han Feizi,politics,Legalist,,0.5,0.5,0.0,-240,Legalist determinism; state order via law; minimal transcendence.
Buddha (Gautama Śākyamuni),religion,Buddhism,Theravada,0.6,0.1,0.9,-500,Middle Way; liberation through insight; causal immanence.
Mahāvīra,religion,Jainism,Main,0.8,-0.4,0.7,-500,Karmic determinism; ascetic liberation.
Pythagoras,philosophy,Hellenic,,-0.4,0.5,-0.5,-520,Mathematical harmony; soul transmigration; mixed transcendence.
Heraclitus,philosophy,Hellenic,,0.3,0.6,0.4,-500,Flux and logos; cyclic unity of opposites; immanent process.
Parmenides,philosophy,Hellenic,,-0.5,0.3,-0.7,-480,Being as unchanging; transcendence of appearance.
Empedocles,philosophy,Hellenic,,0.2,0.5,0.5,-460,Four roots and Love/Strife cycles; semi-immanent cosmology.
Anaxagoras,philosophy,Hellenic,,-0.3,0.5,-0.4,-450,Nous ordering matter; dualist teleology.
Socrates,philosophy,Hellenic,,-0.4,0.6,-0.4,-400,Moral inquiry; daimonion; rational agency.
Plato,philosophy,Hellenic,,-0.4,0.4,-0.7,-380,World of Forms; ascent to the Good.
Aristotle,philosophy,Hellenic,,-0.3,0.5,0.3,-340,Immanent forms; teleology.
Diogenes of Sinope,philosophy,Hellenic,,0.2,0.8,0.4,-350,Cynic naturalism; individual freedom; immanent simplicity.
Epicurus,philosophy,Hellenic,,-0.3,0.7,0.5,-300,Atomism; pleasure as tranquility; immanent materialism.
Zeno of Citium (early Stoic),philosophy,Hellenic,,-0.2,0.6,0.4,-300,Fated logos; virtue through reason.
Pyrrho,philosophy,Hellenic,,-0.1,0.4,0.5,-300,Skepticism; ataraxia; neutral immanence.
Ashoka,politics,Buddhism,Mahayana,0.5,0.4,0.7,-250,Buddhist emperor; dharma governance; moral immanence.
Xunzi,philosophy,Confucianism,Classical,0.5,0.5,0.2,-240,Human nature as selfish; ritual discipline; structural order.
Archimedes,science,Hellenic,,-0.4,0.7,0.3,-250,Mathematics and mechanics; immanent laws of nature.
Cicero,politics,Roman,,-0.5,0.6,0.3,-50,Stoic republicanism; reason and law.
Philo of Alexandria,religion,Judaism,Rabbinic,-0.6,0.5,-0.5,20,Hellenistic Judaism; Logos as mediator; transcendence.
Jesus of Nazareth,religion,Christianity,Catholic,-0.8,0.7,-0.7,30,Kingdom of God; inner agency; transcendent love.
Paul the Apostle,religion,Christianity,Catholic,-0.8,0.7,-0.7,55,Universal salvation history; will under grace.
Nāgārjuna,philosophy,Buddhism,Mahayana,0.4,0.1,0.95,200,Emptiness; two truths; non-duality.
Plotinus (Neoplatonism),philosophy,Hellenic,,-0.2,0.4,-0.7,250,Emanation; mystical ascent.
Origen,religion,Christianity,Orthodox,-0.7,0.5,-0.6,250,Christian Platonism; rational soul ascent.
